Epoch,Train Loss,Train Accuracy,Eval Loss,Eval Accuracy
1,0.17333854283028832,0.9820317666997355,0.1643424906620854,0.8891870820473251
2,0.17227864116220112,0.9846562568893298,0.16364883636369518,0.8948535558127572
3,0.1719491347691572,0.9865048363095238,0.16391963972464987,0.9007470904063786
4,0.17175265268142872,0.9875649319334215,0.16386861221766785,0.9036727591306585
5,0.17162051143279702,0.9883413594025573,0.16391619388014078,0.9062419624485597
6,0.17146946737813346,0.9892889867173721,0.1642774749841345,0.9069315843621399
7,0.17133999013766246,0.98998153659612,0.1644401063554381,0.9077666859567901
8,0.17125377647463122,0.9904357156635802,0.16460835276857802,0.9098190747170782
9,0.17115593818246225,0.9910567887455908,0.1647543292982798,0.9104660976080247
10,0.1710823954244595,0.9914615368716931,0.1649363715887854,0.9110849890689301
11,0.17101615291136107,0.9918196097883598,0.16460450841604093,0.9109025366512346
12,0.1709538358559225,0.9921930114638448,0.1645482201129198,0.911376350308642
13,0.17090919418378678,0.9924661733906526,0.16543382920913005,0.9115262506430041
14,0.17085348780047574,0.9927656870039683,0.1652480903032579,0.912646283436214
15,0.17079658791611999,0.9931204874889771,0.1651385449069111,0.9118316775977366
16,0.17075712686701452,0.993329406415344,0.16566131665910544,0.9133684574331276
17,0.17071540428822063,0.9935636436287478,0.16563819319401918,0.9133439429012346
18,0.17066978985819392,0.9938392168209876,0.16522543509735874,0.9130722736625514
19,0.1706260010621107,0.9940856825947971,0.16549005035899186,0.9134809831532922
20,0.1705923090112226,0.9942952904541447,0.16582095985741993,0.9138587480709877
21,0.17055944257714012,0.9944744130291006,0.16600625182649023,0.914161763760288
22,0.1705309926454708,0.9946349344135802,0.16531201353982874,0.9141983346193415
23,0.1705027570677409,0.9948293857473545,0.16577363906330184,0.9142750932355967
24,0.17048285365609087,0.9949558049492946,0.16503939581544777,0.9139170203189301
25,0.17045911200796432,0.9950908358134921,0.16547480735339617,0.9145290798611111
26,0.17042443460991083,0.9952696139219577,0.1657106478355433,0.9146621013374485
27,0.1704001120897207,0.9954237626763669,0.1660755059044612,0.9157552083333333
28,0.17038288037850927,0.9955370921516755,0.16602697331262262,0.9147107285236625
29,0.17035807316074586,0.9956850405092592,0.166118538350259,0.9157676665380658
30,0.17033987318931412,0.9957780464616403,0.1656870450824499,0.915551858281893
31,0.1703217792284001,0.9959110105268959,0.1658384253417975,0.9153207786779836
32,0.17030813176137605,0.9959836929563493,0.16677425066499332,0.9159207818930041
33,0.1702940860613445,0.996077560074956,0.16578428015897148,0.9154003504372428
34,0.170276081696552,0.9961915784832451,0.16543717451981807,0.9160517939814815
35,0.17026203816128718,0.9962558214836861,0.16554501157646118,0.9156185699588477
36,0.17024697085950202,0.9963558889991182,0.16655350471601674,0.9161353845164609
37,0.17022483954560774,0.9964886808311287,0.16659953631460667,0.9165702160493827
38,0.17022084214623456,0.996529155643739,0.16566574622533822,0.9155964666923868
39,0.1702057027976503,0.9966116553681658,0.166086801327765,0.9159461001800412
40,0.1701966762038313,0.9966767595348325,0.16534430881668077,0.9144458912037037
41,0.1701790401856553,0.9967782049162257,0.16583113735051533,0.9158404063786009
42,0.170174362124778,0.9968217799272486,0.16610889916161173,0.915602092978395
43,0.17016398463245844,0.9968824060295415,0.1669451890415267,0.916405848122428
44,0.17015988139070476,0.9969073798500881,0.16678083487051099,0.9164480452674897
45,0.17013964447887728,0.9970088252314815,0.16617774311453104,0.9160634484310699
46,0.17013468245525118,0.9970572227733686,0.16662734384207348,0.9171099376286008
47,0.17013129346041148,0.9970937362213403,0.1660558668602454,0.9163628472222223
48,0.17011906229726687,0.9971562568893299,0.16643255566687962,0.9165308320473251
49,0.17010421588575556,0.9972468515762787,0.16637783615212692,0.9161550765174897
50,0.1701023232701467,0.99723686204806,0.16621789292089248,0.9168985500257202
