Epoch,Train Loss,Train Accuracy,Eval Loss,Eval Accuracy
1,0.20163112215342976,0.9313295200892857,0.14218507202135192,0.8098578559027778
2,0.1690353278248083,0.952653576078869,0.13654036265280511,0.8359128146701389
3,0.16537863558956556,0.961598888578869,0.13404521577888065,0.8502446831597222
4,0.16394635133800053,0.9663438197544643,0.1335239028558135,0.8513416883680556
5,0.1628784605257568,0.9710956101190477,0.13218371702565088,0.86610107421875
6,0.1621587061278877,0.9743747674851191,0.13205535927166542,0.8646481662326388
7,0.1615906398033812,0.9771912202380952,0.13197732133169968,0.8659969075520834
8,0.1611821501914944,0.9792867606026786,0.13194663859903813,0.8742046440972222
9,0.16079027537433874,0.9813435872395834,0.13193384961535534,0.8840001085069444
10,0.1605350660426276,0.9826743861607142,0.13192353062331677,0.8871416558159723
11,0.1603338710963726,0.9837540690104166,0.1319350801822212,0.8887483723958334
12,0.1600762414080756,0.9851555524553571,0.13152184128347372,0.8875710720486111
13,0.159913731330917,0.986057361421131,0.13142459566394488,0.8874650065104167
14,0.15981265624009428,0.9866065615699404,0.13101390834069915,0.8867955186631944
15,0.1596316684037447,0.9876227678571429,0.1314963059913781,0.8908015950520833
16,0.1595171232486055,0.9883206612723214,0.13101096250530747,0.8894479709201389
17,0.15946252039145856,0.9886187453497024,0.1316180409035749,0.8874300130208334
18,0.15938299268129327,0.9890339006696428,0.13091851911611027,0.8872233072916667
19,0.15930128003514948,0.9895707775297619,0.1317088243448072,0.8927975802951389
20,0.15917822103060428,0.9902150762648809,0.13139462363388804,0.8961971028645833
21,0.15911217369139194,0.9905970982142858,0.1313685998113619,0.8946676974826389
22,0.15905610001867726,0.9909476143973214,0.13215955953217215,0.8960007052951389
23,0.15898453323614029,0.9913632347470238,0.13129588469035094,0.8960614691840277
24,0.1589580252234425,0.9915003022693453,0.13077305153840119,0.8910210503472222
25,0.15890180418888727,0.9918362862723215,0.13189883958548307,0.8975244140625
26,0.15886550276052383,0.9920739164806548,0.13151822810371716,0.8983219401041667
27,0.15880635417997838,0.9923895554315476,0.13155308839761548,0.8970304361979167
28,0.15873018882813908,0.992807849702381,0.13168598274803825,0.8980913628472222
29,0.15877921781724408,0.9925634765625,0.1319252636283636,0.89539306640625
30,0.1586919747647785,0.9930819847470238,0.13116565129409233,0.8937890625
31,0.15864205062389375,0.9933212425595238,0.1316832146089938,0.8998160807291666
32,0.15858716732334524,0.9936416480654762,0.13132090073906713,0.8966362847222222
33,0.1585652084045467,0.9937754603794643,0.13217252389424378,0.9005121527777777
34,0.15855784556340605,0.9938548642113095,0.130869263327784,0.8991837565104167
35,0.1585258990880989,0.9940193684895834,0.13160691153672005,0.8991910807291666
36,0.15854128560140018,0.9939127604166667,0.1313445011153817,0.8987953016493055
37,0.158459507124055,0.994401622953869,0.13140515155262417,0.9001820203993055
38,0.15846117020895084,0.9944041806175595,0.13179110685984294,0.9006792534722222
39,0.15849883875676563,0.9941999162946429,0.1312519416006075,0.8985319010416667
40,0.1583806430122682,0.9948607235863095,0.1315554198084606,0.9016278754340278
41,0.1583292095611493,0.9951388113839286,0.13162684842116304,0.9014938693576389
42,0.15840372278222015,0.994728538876488,0.13131610260655482,0.90014892578125
43,0.15834205716493585,0.9950944010416667,0.13181095599300333,0.9024541558159722
44,0.15829812522445405,0.9953251720610119,0.13090098158766825,0.8988590494791666
45,0.15832219074169795,0.9951896158854167,0.13151176884356472,0.9021956380208334
46,0.15827342021678176,0.9954668898809523,0.13090489556392035,0.9014173719618056
47,0.1582524732287441,0.9955955868675596,0.13196883615520266,0.9028179253472223
48,0.1582474141958214,0.995634998139881,0.13060977384448053,0.8995222981770833
49,0.15831444710493087,0.9952969215029762,0.1310443439003494,0.8989244249131945
50,0.15821069684766587,0.9958369373139881,0.13093103284223212,0.8996856011284722
51,0.15817485513786475,0.9960466657366072,0.13118373285979032,0.90004638671875
52,0.15816824819360462,0.996073986235119,0.13135993561396997,0.9035945638020834
53,0.1581589344711531,0.996137927827381,0.13185102761619621,0.90193603515625
54,0.1581938580033325,0.9959507533482143,0.1317056724594699,0.9028266059027777
55,0.15814564171291534,0.996235584077381,0.13139086609913242,0.90200439453125
56,0.15812065682950474,0.9963676525297619,0.13129346329304908,0.9021449110243056
57,0.15815706976822444,0.9961530412946429,0.13211805315481293,0.9048665364583334
58,0.1581241682704006,0.9963484700520834,0.13192180939432646,0.9043638780381944
59,0.1581185624180805,0.9963661411830357,0.13120189520219963,0.9012654622395834
60,0.15808021855496224,0.9966036551339286,0.13200765127937,0.9028982204861111
61,0.15809255975875117,0.9965259951636904,0.1317368961042828,0.9044175889756945
62,0.15808378525433087,0.9965845889136905,0.13190651651885774,0.9027875434027778
63,0.15807283022219226,0.9966349283854167,0.13095667260802454,0.9013107638888889
64,0.1580902963610632,0.9965598260788691,0.1312567897968822,0.9027566189236111
65,0.15804345243211304,0.9967978050595238,0.1309719857863254,0.9021644422743056
66,0.1580456295006332,0.9967935035342262,0.1313696429754297,0.9032253689236112
67,0.1580321222011532,0.9968738374255952,0.13082982173396482,0.9018394639756945
68,0.1580117325608929,0.9969830031622023,0.13130219636691942,0.9021657986111111
69,0.15802959413045928,0.9968956938244048,0.13083411626931693,0.8996462673611111
70,0.15800167091545606,0.9970391555059523,0.13177931906862392,0.9044487847222222
71,0.15798726681442488,0.9971129789806548,0.13196525139113266,0.9043226453993055
72,0.1580055627617098,0.9970327613467261,0.13183126497185893,0.9037877061631945
