Epoch,Train Loss,Train Accuracy,Eval Loss,Eval Accuracy
1,0.173758299861035,0.9769445133377425,0.16871712131327704,0.8297538097993827
2,0.1728847946115206,0.9808691922949735,0.16571300261114774,0.8578820248199589
3,0.1724965246801484,0.9828646866732804,0.16555929281993917,0.8774377893518519
4,0.17221801174208207,0.9843605324074074,0.1646488381941852,0.879222527649177
5,0.1720217353282089,0.9854051270392417,0.16434751122601723,0.8884424029063785
6,0.17185846927387927,0.986357921351411,0.1654326985345075,0.8948334619341564
7,0.17171602264277858,0.9873262166556437,0.16396891913915934,0.8941064654063786
8,0.17156988640850454,0.9881579309964726,0.16575451254060394,0.9005915637860082
9,0.1714577225098657,0.9888739045965609,0.1654996381778466,0.9020777070473252
10,0.17140454589816176,0.9891944306657848,0.16544833058785452,0.9036189075360083
11,0.17132685313524076,0.9897238756613757,0.1650373841586866,0.9016987364969136
12,0.1712443035605596,0.9901706486992945,0.16455385789863372,0.9009902263374485
13,0.17118018628091503,0.9905826306216932,0.16525786620025573,0.9038511927726337
14,0.17111070189304514,0.9910683283730158,0.17255379936020626,0.8906643840020576
15,0.17108713607441722,0.9911644345238095,0.16847564343755184,0.8973785525977366
16,0.17102866190024593,0.9915557484567902,0.1671309294179082,0.901025189686214
17,0.17098680771204244,0.9918232266865079,0.16527188579110721,0.9068994341563786
18,0.17094976905791145,0.9920951829805996,0.16470989844712772,0.9006932388117284
19,0.17090471618518507,0.9923369984567901,0.16767989648015877,0.9011586130401235
20,0.17085281867738839,0.9926699253196649,0.16455612601222178,0.9049856931584362
21,0.1708469434584818,0.9926871486441798,0.1637132016843871,0.9051227334104939
22,0.1707758616198942,0.9931797357253086,0.1629541998140906,0.9025458944187242
23,0.17076127611531525,0.9932532793209876,0.1634007666358038,0.9020564075360082
24,0.17072262819882678,0.9934606481481482,0.16459708621627406,0.9055993602109054
25,0.17070384016746526,0.9935848283179012,0.16455150797571005,0.9014825263631687
26,0.17068054067819513,0.9937677400242504,0.16640128175679006,0.8990760834619341
27,0.17064441790954013,0.9940005993716932,0.16364506499743775,0.9044021669238683
28,0.1706156625355921,0.9941857501102292,0.16429105920619086,0.9081569090792181
29,0.17059339242442204,0.994324397872575,0.16504607928034506,0.9041329089506173
30,0.1705759311638699,0.9943910521384479,0.16519071877394853,0.905028694058642
31,0.1705671231274208,0.9944628734016755,0.17055309465841242,0.8915919174382716
32,0.17052699884003072,0.9946921158509701,0.16701742835146816,0.8987742734053498
33,0.1705093611404825,0.9947923555996473,0.16682346292624348,0.9028593589248971
34,0.17048006467994076,0.9950097139550265,0.1656831108327759,0.9010565361368312
35,0.17046471810223185,0.9950817074514992,0.16694508257665133,0.9025756333590536
36,0.170441311089209,0.9952179439484127,0.16746296488532894,0.8996435345936215
37,0.17041646366563268,0.9954043003196649,0.1662935030793673,0.9046657986111111
38,0.17040740569320484,0.9954371968694885,0.1651599656202291,0.9035501864711935
39,0.1703890077401956,0.995577911430776,0.16470272290079216,0.905662454989712
40,0.17037438596001128,0.9956230365410053,0.17819390387127274,0.8821076067386832
41,0.17036590310094724,0.9957165591931217,0.16927875073528603,0.8960632073045267
42,0.17033996167152657,0.9958517622905644,0.16789319434840427,0.9016014821244855
43,0.17032383670255394,0.9959631972001763,0.1690868311806729,0.8983173386059671
44,0.1703176798538025,0.9959947158840388,0.16799941835434815,0.9001382458847736
45,0.17028895039400363,0.9961838279872134,0.16423592569404527,0.9090257683899177
46,0.17028667331162226,0.9962038070436507,0.16411808569376407,0.9071461869855967
47,0.17027680302624643,0.9962255084325397,0.16492492396776615,0.9058650012860082
48,0.17026451988768343,0.996305080191799,0.16760319505671137,0.9034465020576131
49,0.17024602395270877,0.9964259879298942,0.16388360910901897,0.9074765303497943
50,0.1702315366192496,0.9965317391424162,0.16400308907032013,0.9078321920010288
